ALD,slope,Tree_LAI,Understorey_LAI,OM_thick,Moss_thickness,Moss_thickness,DeepMoist,SurfMoist,Height,Region,Site,Plot,GPS.N,GPS.W,LAI
69.5,9.70,1.38,1.509,106,0,106,0.200,0.118,80,YK,BB,BB10,62.52705556,114.9604167,2.888802
48.5,6.40,1.77,1.413,88,0,88,0.253,0.127,29.6,YK,BB,BB11,62.52697222,114.9605,3.183066
64.5,10.80,1.43,0.416,95,0,95,0.130,0.137,15.6,YK,BB,BB12,62.52694444,114.9605278,1.845816
52.5,7.90,1.43,0.807,60,0,60,0.192,0.124,43.1,YK,BB,BB13,62.52686111,114.9604444,2.236738
60,3.70,1.19,0.902,56,0,56,0.175,0.140,21,YK,BB,BB17,62.52675,114.9602222,2.092474
75,5.60,1.34,0.807,67,0,67,0.172,0.119,28.4,YK,BB,BB18,62.52669444,114.9600556,2.146738
91,3.80,0.97,1.110,22,0,22,0.103,0.196,44,YK,BB,BB19,62.52694444,114.9601389,2.079902
61.5,0.90,2.15,0.894,60,0,60,0.223,0.150,17.6,YK,BB,BB20,62.527,114.9604167,3.044496
81,1.50,1.53,1.764,32,0,32,0.162,0.133,74.4,YK,BB,BB21,62.52705556,114.9602778,3.294098
83.5,8.70,1.44,1.724,44,0,44,0.250,0.133,68.2,YK,BB,BB22,62.52705556,114.9602222,3.164208
62.5,6.80,1.37,1.501,60,0,60,0.088,0.150,51.6,YK,BB,BB23,62.52708333,114.9605833,2.870824
80,7.00,1.42,1.565,30,0,30,0.199,0.176,30.6,YK,BB,BB24,62.52713889,114.9608056,2.984648
80,6.90,1.55,2.051,32,0,32,0.162,0.144,29.6,YK,BB,BB25,62.52719444,114.9607222,3.601306
53.5,6.90,1.81,1.676,76,0,76,0.189,0.171,52,YK,BB,BB26,62.52675,114.9605556,3.48634
52.5,4.90,1.55,0.958,42,0,42,0.203,0.123,25.4,YK,BB,BB27,62.52666667,114.9606389,2.50832
53.5,4.70,1.82,0.703,103,0,103,0.147,0.164,10.2,YK,BB,BB28,62.52686111,114.9608056,2.523024
49.5,4.50,1.57,1.062,66,0,66,0.130,0.150,21.4,YK,BB,BB29,62.52677778,114.961,2.632034
69,4.70,1.48,0.887,57,0,57,0.295,0.109,31.2,YK,BB,BB30,62.52677778,114.961,2.366518
61,3.70,1.39,0.871,52,0,52,0.098,0.174,30,YK,BB,BB4,62.52711111,114.9605278,2.260562
64,4.80,1.54,1.102,35,0,35,0.265,0.188,61,YK,BB,BB5,62.52697222,114.9601944,2.641924
72,9.00,1.12,0.871,54,0,54,0.175,0.102,46.6,YK,BB,BB6,62.527,114.9603889,1.990562
49.5,6.30,1.22,0.615,62,0,62,0.144,0.146,17.8,YK,BB,BB7,62.52680556,114.9605556,1.835266
43,8.40,1.71,2.410,38,0,38,0.193,0.159,59.8,YK,BB,BB8,62.52677778,114.9605833,4.120316
53.5,10.90,1.59,0.448,46,0,46,0.152,0.097,20.8,YK,BB,BB9,62.52677778,114.9603889,2.037728
50,5.90,0.24,0.264,9,10,19,0.043,0.015,18,WH,BF,BLFE17,61.34022222,135.6416111,0.503605
57,1.50,0.50,0.592,7,8,15,0.518,0.024,15.2,WH,BF,BLFE18,61.34025,135.6416111,1.09222
41,5.80,0.96,0.038,20,9,29,0.056,0.025,16.4,WH,BF,BLFE19,61.34030556,135.6418333,0.998269
57,4.10,1.02,0.095,14,11,25,0.032,0.024,10.8,WH,BF,BLFE2,61.34016667,135.6419444,1.114603
54,9.60,0.43,0.874,9,12,21,0.122,0.000,24.8,WH,BF,BLFE21,61.34038889,135.6416111,1.30389
33.5,2.60,0.89,0.311,14.5,6.5,21,0.045,0.023,21,WH,BF,BLFE22,61.34036111,135.6414722,1.20055
35.5,9.80,0.88,0.761,29.5,3.5,33,0.039,0.035,30.2,WH,BF,BLFE23,61.34027778,135.6414167,1.641222
53,5.50,0.46,0.085,21,5,26,0.059,0.008,4.9,WH,BF,BLFE24,61.34025,135.6413333,0.545214
62,1.40,0.30,1.484,14,7,21,0.064,0.039,62,WH,BF,BLFE25,61.34033333,135.64125,1.784175
60,12.90,1.12,0.292,22,9,31,0.030,0.015,28.6,WH,BF,BLFE31,61.34013889,135.6415833,1.411772
65,0.40,0.37,0.949,9,5,14,0.256,0.042,30,WH,BF,BLFE5,61.34019444,135.6416111,1.319002
37,7.80,1.04,1.469,55.5,2.5,58,0.201,0.095,41.2,YK,BS,BS1,62.52675,114.9614722,2.508912
27,3.50,1.12,1.549,44.5,12.5,57,0.391,0.074,47,YK,BS,BS10,62.52675,114.9615833,2.668692
40,5.40,1.00,1.333,84,8,92,0.152,0.030,32.4,YK,BS,BS11,62.52677778,114.9615833,2.333286
32.5,10.80,1.50,0.623,78,8,86,0.217,0.046,5.8,YK,BS,BS12,62.52669444,114.9614722,2.123244
38.5,8.70,1.18,0.607,64,7,71,0.099,0.030,15.4,YK,BS,BS14,62.52669722,114.9613611,1.787288
33,6.10,1.66,0.703,37,3,40,0.437,0.127,18.2,YK,BS,BS15,62.52666667,114.9612778,2.363024
35.5,1.70,1.71,0.240,59,2,61,0.154,0.068,1.2,YK,BS,BS16,62.52672222,114.9615833,1.9503
41,12.20,1.21,0.679,68.5,1.5,70,0.196,0.091,19.6,YK,BS,BS17,62.52669444,114.9615556,1.88909
42,3.60,1.13,0.751,79,2,81,0.143,0.102,13.2,YK,BS,BS18,62.52666667,114.9616944,1.880892
37,8.50,0.63,0.575,98,3,101,0.269,0.130,17,YK,BS,BS19,62.52666667,114.9618056,1.205376
47,7.20,0.79,1.054,84.5,3.5,88,0.612,0.109,23,YK,BS,BS20,62.52666667,114.9618056,1.844056
31,7.90,1.76,0.240,35,8,43,0.294,0.083,0,YK,BS,BS21,62.52669444,114.9618889,2.0003
38,9.00,1.91,1.469,48.5,6.5,55,0.215,0.076,33.4,YK,BS,BS22,62.52675,114.9620278,3.378912
39,10.50,1.70,1.501,43,6,49,0.166,0.128,49.8,YK,BS,BS23,62.52680556,114.9621389,3.200824
57,5.80,1.67,0.735,46,3,49,0.442,0.228,36.2,YK,BS,BS24,62.52683333,114.9619722,2.404936
44,18.60,2.04,1.644,23,0,23,0.241,0.111,33,YK,BS,BS25,62.52680556,114.9618333,3.684428
44.5,2.80,1.63,1.317,31,9,40,0.238,0.103,50.4,YK,BS,BS26,62.52683333,114.9621667,2.94733
54.5,2.80,1.99,0.240,34,3,37,0.217,0.091,0.8,YK,BS,BS27,62.52686111,114.96225,2.2303
45.5,11.60,1.38,0.831,36,5,41,0.208,0.101,39.2,YK,BS,BS28,62.52694444,114.9623333,2.210672
46,2.90,1.26,0.974,82,1,83,0.429,0.154,29.4,YK,BS,BS29,62.52683333,114.9623889,2.234276
60.5,1.10,1.58,0.671,36,2,38,0.288,0.138,13.8,YK,BS,BS3,62.52683333,114.9615,2.251112
32,1.40,1.87,0.639,20,10,30,0.117,0.028,17.4,YK,BS,BS30,62.52677778,114.9618056,2.5092
63.5,5.80,1.44,1.421,18,5,23,0.295,0.117,25.6,YK,BS,BS5,62.52688889,114.9614444,2.861044
74.5,6.60,1.66,0.735,19,2,21,0.302,0.166,15.4,YK,BS,BS6,62.52688889,114.9615,2.394936
40.5,16.30,0.40,0.874,33.5,12.5,46,0.074,0.017,17,WH,FFB,FFBE10,61.38336111,135.6595556,1.27389
69.2,17.50,0.19,0.188,25.2,0.8,26,0.313,0.088,12.6,WH,FFB,FFBE11,61.38347222,135.6593611,0.378493
42,0.30,0.28,1.015,24,11,35,0.141,0.026,25.8,WH,FFB,FFBE12,61.38341667,135.65925,1.294725
41.5,13.00,0.17,0.545,29.5,2.5,32,0.210,0.132,16.4,WH,FFB,FFBE13,61.38341667,135.6591944,0.715275
43,8.00,0.16,0.902,38,7,45,0.157,0.017,32.2,WH,FFB,FFBE14,61.38338889,135.65925,1.062057
45,17.10,0.33,1.146,32,14,46,0.148,0.010,32.6,WH,FFB,FFBE18,61.3835,135.6600556,1.476171
66.5,19.60,0.54,0.151,29.5,10.5,40,0.308,0.071,20.7,WH,FFB,FFBE19,61.38352778,135.6600833,0.690937
77.3,22.50,0.20,1.897,64.3,4.7,69,0.296,0.164,18,WH,FFB,FFBE20,61.38347222,135.6602222,2.097291
79.9,5.70,0.10,1.062,34.9,0.1,35,0.174,0.066,35.2,WH,FFB,FFBE23,61.38336111,135.6603889,1.16167
41.85,10.00,0.04,0.348,41.85,9.15,51,0.181,0.040,41.6,WH,FFB,FFBE25,61.38319444,135.6607222,0.388106
32.5,7.60,0.03,0.846,30.5,19.5,50,0.191,0.114,39.1,WH,FFB,FFBE27,61.38330556,135.66075,0.875723
42.8,15.10,0.05,1.747,35.8,4.2,40,0.192,0.028,148.2,WH,FFB,FFBE28,61.3835,135.6606389,1.797067
68.5,6.00,0.10,1.287,58.5,3.5,62,0.219,0.146,76,WH,FFB,FFBE29,61.3835,135.6605556,1.387006
39,22.60,0.04,1.109,29,12,41,0.097,0.035,99.6,WH,FFB,FFBE4,61.38338889,135.6604722,1.148615
79.3,13.10,0.11,-0.159,40.3,9.7,50,0.280,0.052,1.6,WH,FFB,FFBE5,61.38338889,135.6605278,-0.0489
43,11.90,0.22,0.555,31,10,41,0.080,0.000,25.4,WH,FFB,FFBE9,61.38325,135.6598333,0.774664
48,11.60,0.40,0.170,29,7,36,0.090,0.022,15.8,WH,FFU,FFUE1,61.38472222,135.6591944,0.569715
50,5.30,0.55,0.010,35,10,45,0.259,0.082,12.8,WH,FFU,FFUE10,61.38455556,135.6590556,0.560102
22,19.40,1.71,0.451,11,34,45,0.080,0.016,11,WH,FFU,FFUE13,61.38444444,135.6589444,2.161385
37.5,16.60,0.44,1.118,15.5,16.5,32,0.048,0.019,15.8,WH,FFU,FFUE14,61.38458333,135.6589444,1.558004
40,21.00,0.50,0.404,20,11,31,0.034,0.014,23.1,WH,FFU,FFUE15,61.38455556,135.6589722,0.90444
47.5,20.60,0.58,0.311,28.5,11.5,40,0.097,0.018,22,WH,FFU,FFUE16,61.3845,135.6590278,0.89055
36,21.30,0.38,0.949,37,22,59,0.084,0.014,141,WH,FFU,FFUE23,61.38463889,135.65875,1.329002
41,20.40,0.67,0.677,24,19,43,0.052,0.008,14.6,WH,FFU,FFUE24,61.38461111,135.6587778,1.346721
49.5,19.90,0.55,0.179,35.5,13.5,49,0.098,0.032,18.8,WH,FFU,FFUE25,61.38452778,135.6586389,0.729104
27,16.40,0.97,0.264,30,27,57,0.064,0.013,24.8,WH,FFU,FFUE26,61.3845,135.65875,1.233605
46,5.60,1.16,0.376,34,24,58,0.065,0.007,13.6,WH,FFU,FFUE28,61.38441667,135.65875,1.536273
73,15.10,0.29,-0.074,53,1,54,0.151,0.022,11.6,WH,FFU,FFUE3,61.38480556,135.6593333,0.215601
39,10.80,0.31,0.066,29,17,46,0.118,0.015,22.6,WH,FFU,FFUE4,61.38480556,135.6593056,0.376436
53.5,12.10,0.47,0.217,35.5,3.5,39,0.062,0.019,17,WH,FFU,FFUE7,61.38463889,135.6591667,0.68666
34,7.60,0.60,0.301,21,16,37,0.091,0.009,17,WH,FFU,FFUE8,61.38472222,135.6591667,0.901161
33,13.30,0.15,0.151,26,13,39,0.156,0.039,20,WH,FFU,FFUOM1,NA,NA,0.300937
47,10.40,0.21,0.555,27,8,35,0.168,0.033,28.6,WH,FFU,FFUOM2,NA,NA,0.764664
32.5,15.00,0.24,0.226,32.5,13.5,46,0.146,0.034,20.8,WH,FFU,FFUOM3,NA,NA,0.466049
40,16.20,0.39,0.095,39,5,44,0.067,0.033,25.8,WH,FFU,FFUOM4,NA,NA,0.484603
42.5,11.20,0.84,0.160,41.5,13.5,55,0.101,0.028,16.2,WH,FFU,FFUOM5,NA,NA,1.000326
50,14.20,0.35,0.414,28,12,40,0.098,0.036,31.4,WH,FFU,FFUOM7,NA,NA,0.763829
> 150,5.40,0.08,0.647,59.6,0.4,60,0.685,0.290,10.4,YK,MB,MB1,62.69908333,116.1321111,0.727178
95.8,3.90,0.30,1.333,33.8,0.2,34,0.872,0.191,29.8,YK,MB,MB10,62.69922222,116.1316389,1.633286
> 150,5.40,0.06,0.320,48.4,0.6,49,0.655,0.139,2.6,YK,MB,MB11,62.69908333,116.1315,0.38008
95,4.60,0.05,0.240,45,0,45,0.342,0.109,3.6,YK,MB,MB12,62.69919444,116.1310833,0.2903
119.5,8.80,0.00,0.240,46,0,46,0.731,0.138,8.8,YK,MB,MB13,62.69919444,116.131,0.2403
92.2,2.10,0.02,0.942,79.7,0.3,80,0.857,0.277,57.2,YK,MB,MB14,62.69911111,116.1308889,0.962364
77.1,4.60,0.02,0.607,39.6,0.4,40,0.707,0.170,25.2,YK,MB,MB15,62.69908333,116.1308056,0.627288
> 150,6.30,0.05,0.288,23.7,0.3,24,0.743,0.157,13,YK,MB,MB16,62.69905556,116.1307778,0.338168
> 150,8.40,0.10,0.631,31.6,0.4,32,0.753,0.175,22.6,YK,MB,MB17,62.699,116.1308056,0.731222
> 150,0.90,0.03,0.759,68.4,0.6,69,0.691,0.447,14.6,YK,MB,MB18,62.69913889,116.1309444,0.78887
> 150,5.90,0.02,0.958,14.7,0.3,15,0.463,0.383,37.2,YK,MB,MB19,62.69936111,116.1310833,0.97832
> 150,5.40,0.07,0.344,33.7,0.3,34,0.554,0.188,6.4,YK,MB,MB2,62.69913889,116.1319722,0.414014
> 150,7.10,0.12,1.158,63.3,0.7,64,0.375,0.153,66.6,YK,MB,MB20,62.69941667,116.1312778,1.27777
> 150,12.80,0.17,1.317,77.4,0.6,78,0.363,0.157,30.6,YK,MB,MB21,62.69947222,116.13125,1.48733
> 150,2.30,0.13,0.520,60.6,0.4,61,0.751,0.262,28.6,YK,MB,MB23,62.69952778,116.1310556,0.64953
> 150,6.60,0.09,1.062,39.8,0.2,40,0.683,0.174,51.2,YK,MB,MB24Bet,62.69944444,116.1309167,1.152034
> 150,4.80,0.03,0.767,24.7,0.3,25,0.827,0.314,43.2,YK,MB,MB24Flux,62.6995,116.1309444,0.796848
100.2,4.70,0.11,1.453,47.7,0.3,48,0.705,0.240,35.6,YK,MB,MB25,62.69958333,116.1309167,1.562956
82.3,6.50,0.05,1.158,58.3,0.7,59,0.545,0.140,110.4,YK,MB,MB26,62.69963889,116.1308333,1.20777
78.5,4.80,0.03,1.174,56.5,0.5,57,0.309,0.133,27.2,YK,MB,MB27,62.69966667,116.1306667,1.203726
50.5,6.40,0.03,1.389,66.5,0.5,67,0.337,0.218,31.6,YK,MB,MB28,62.69972222,116.1306389,1.419132
51.4,6.50,0.12,1.644,67.4,0.6,68,0.323,0.169,78,YK,MB,MB29,62.69972222,116.1307778,1.764428
> 150,6.40,0.12,0.583,34.4,0.6,35,0.709,0.142,5.2,YK,MB,MB3,62.69913889,116.1319167,0.703354
89.5,8.90,0.14,0.456,35.5,5.5,41,0.725,0.133,16.2,YK,MB,MB30,62.69975,116.1307778,0.595706
> 150,4.30,0.21,1.772,37.5,0.5,38,0.611,0.145,122,YK,MB,MB4,62.69908333,116.1319444,1.982076
> 150,5.90,0.12,0.384,38.4,0.6,39,0.622,0.072,8.8,YK,MB,MB5,62.69913889,116.1318056,0.503904
100.4,9.60,0.24,0.815,37.4,0.6,38,0.480,0.262,91.2,YK,MB,MB6,62.69916667,116.1317778,1.054716
> 150,9.30,0.20,0.344,47.2,0.8,48,0.932,0.126,15.8,YK,MB,MB7,62.69916667,116.1317222,0.544014
> 150,6.80,0.14,0.551,30.7,0.3,31,0.538,0.112,13.6,YK,MB,MB8,62.69919444,116.1318056,0.691442
106.7,10.50,0.18,1.405,24.7,0.3,25,0.567,0.195,90.8,YK,MB,MB9,62.69916667,116.1316111,1.585088
41,13.50,0.48,1.158,77,8,85,0.186,0.110,22.4,YK,MU,MU1,62.69963889,116.1315278,1.63777
45,9.90,0.67,0.815,47.5,4.5,52,0.186,0.110,21.6,YK,MU,MU10,62.69938889,116.1319167,1.484716
46,7.70,0.66,0.328,68,3,71,0.308,0.063,7.6,YK,MU,MU11,62.69941667,116.1319167,0.988058
37.5,7.00,0.71,1.333,64,5,69,0.140,0.061,48.6,YK,MU,MU12,62.69938889,116.132,2.043286
44.5,7.40,0.60,0.751,46,3,49,0.400,0.136,12.6,YK,MU,MU13,62.69933333,116.1318889,1.350892
40.5,11.00,0.75,0.679,52,8,60,0.194,0.033,32.4,YK,MU,MU14,62.69938889,116.132,1.42909
67.5,10.90,0.65,1.541,29,4,33,0.185,0.091,116.4,YK,MU,MU15,62.69941667,116.1320833,2.190714
43.5,8.70,0.75,2.155,82,5,87,0.212,0.093,48,YK,MU,MU16,62.69938889,116.1320278,2.90502
42,7.20,0.89,0.512,39,2,41,0.234,0.155,2.4,YK,MU,MU17,62.69944444,116.1321389,1.401552
37,5.60,0.81,0.855,66,4,70,0.213,0.034,32.2,YK,MU,MU18,62.69944444,116.132,1.664606
53,13.40,0.63,0.759,45.5,6.5,52,0.130,0.064,23.6,YK,MU,MU19,62.69944444,116.1320556,1.38887
55.5,7.60,0.84,0.679,59,3,62,0.245,0.127,10.6,YK,MU,MU2,62.69958333,116.1314722,1.51909
35.5,2.70,1.10,1.254,63.5,9.5,73,0.207,0.067,33.2,YK,MU,MU20,62.69952778,116.1321667,2.353506
41,11.80,0.68,1.517,44.5,5.5,50,0.094,0.093,21.2,YK,MU,MU21,62.69952778,116.1320556,2.19678
35.5,11.20,0.67,0.607,49,7,56,0.158,0.069,39.2,YK,MU,MU22,62.69952778,116.1319722,1.277288
42,7.80,0.58,1.046,44.5,5.5,50,0.284,0.110,32.8,YK,MU,MU23,62.6995,116.1319444,1.626078
43.5,3.90,0.84,1.182,53,7,60,0.130,0.065,51.2,YK,MU,MU24,62.69938889,116.1318611,2.021704
40.5,4.60,0.60,1.309,39,1,40,0.483,0.088,64.8,YK,MU,MU25,62.69936111,116.1318611,1.909352
36,11.10,0.44,0.456,85,8,93,0.204,0.085,33,YK,MU,MU26,62.69966667,116.1315,0.895706
8,16.10,0.54,2.011,46,33,79,0.088,0.044,83.2,YK,MU,MU27,62.69963889,116.1316111,2.551416
46.5,6.70,0.03,1.956,45.5,9.5,55,0.136,0.064,42,YK,MU,MU28,62.69961111,116.1316944,1.98557
57,7.00,0.59,0.639,74,0,74,0.327,0.123,31.4,YK,MU,MU29,62.69963889,116.1316389,1.2292
67.5,2.90,0.56,0.799,75,2,77,0.480,0.160,26.6,YK,MU,MU3,62.69961111,116.13175,1.35876
40,11.30,0.82,1.238,59,7,66,0.250,0.087,24.8,YK,MU,MU30,62.69961111,116.1316667,2.05755
71.5,5.20,0.61,0.671,27,9,36,0.512,0.092,41.6,YK,MU,MU4,62.69958333,116.13175,1.281112
39,4.60,0.72,1.174,74.5,8.5,83,0.164,0.067,32.6,YK,MU,MU5,62.69955556,116.1316389,1.893726
32,14.40,0.64,1.341,66.5,18.5,85,0.078,0.029,76.8,YK,MU,MU6,62.69952778,116.131575,1.981264
33.5,18.40,0.79,0.679,70,16,86,0.110,0.012,19,YK,MU,MU7,62.6995,116.1315,1.46909
34.5,1.60,0.84,0.687,61.5,14.5,76,0.213,0.076,17.2,YK,MU,MU8,62.6995,116.1314722,1.527068
44,7.10,0.79,0.488,47.5,5.5,53,0.222,0.093,12.4,YK,MU,MU9,62.69944444,116.1319444,1.277618