GridID,Lat_Decimal_Degrees,Long_Decimal_Degrees,Northing_m,Easting_m,ThawDepth1_cm,ThawDepth2_cm,ThawDepth3_cm,Mean_ThawDepth_cm,Soil_Temperature_degCelsius_12cm,Volumetric_Water_Content_Upper12cm_Percent,WaterLevel_cm,Maximum_Vegetation_ Height_cm
0,70.72370863,-153.8374145,7846795.352,469146.6848,43,42,43,43,8,100,22,34
1,70.72370988,-153.8371431,7846795.353,469156.6848,18,17,18,18,1.3,49.1,-9999,22
2,70.72371112,-153.8368717,7846795.354,469166.6848,17,18,16,17,1.1,56.9,-9999,26
3,70.72371237,-153.8366004,7846795.354,469176.6848,22,23,24,23,2.1,58.1,-9999,19
4,70.72371361,-153.836329,7846795.355,469186.6848,21,22,20,21,2.2,55.4,-9999,18
5,70.72371485,-153.8360576,7846795.356,469196.6848,26,26,24,25,4,100,6,25
6,70.7237161,-153.8357862,7846795.357,469206.6848,19,20,21,20,1.7,58.8,-9999,26
7,70.72371734,-153.8355148,7846795.358,469216.6848,27,26,26,26,3.1,59.9,-9999,18
8,70.72371858,-153.8352435,7846795.359,469226.6848,25,25,25,25,3.5,53,-9999,26
9,70.72371982,-153.8349721,7846795.36,469236.6848,33,33,32,33,5.2,66.9,-9999,23
10,70.72372106,-153.8347009,7846795.361,469246.6756,28,29,27,28,4,63.9,-9999,28
11,70.72363158,-153.834697,7846785.379,469246.6848,23,23,21,22,3.3,47.3,-9999,18
12,70.72363032,-153.8349683,7846785.377,469236.6848,19,19,19,19,1.4,50.2,-9999,20
13,70.72362906,-153.8352397,7846785.374,469226.6848,28,27,26,27,4,48.4,-9999,16
14,70.7236278,-153.8355111,7846785.371,469216.6848,28,29,30,29,3.8,51.9,-9999,14
15,70.72362654,-153.8357825,7846785.368,469206.6848,24,24,24,24,3.7,53.9,-9999,25
16,70.72362528,-153.8360539,7846785.366,469196.6848,41,38,38,39,5.9,63.5,-9999,26
17,70.72362402,-153.8363252,7846785.363,469186.6848,30,33,27,30,3.8,53.7,-9999,21
18,70.72362276,-153.8365966,7846785.36,469176.6848,25,28,25,26,4,59.8,-9999,24
19,70.7236215,-153.836868,7846785.357,469166.6848,19,18,20,19,1.2,54.9,-9999,22
20,70.72362024,-153.8371394,7846785.354,469156.6848,17,17,17,17,2.8,67.7,-9999,19
21,70.72361898,-153.8374108,7846785.352,469146.6848,41,42,44,42,7.1,100,10,33
22,70.72352932,-153.837407,7846775.352,469146.6848,34,34,36,35,6.1,100,6,19
23,70.72353058,-153.8371356,7846775.354,469156.6848,31,32,33,32,4.9,56,-9999,24
24,70.72353184,-153.8368643,7846775.357,469166.6848,22,24,22,23,2.8,55.7,-9999,25
25,70.72353311,-153.8365929,7846775.36,469176.6848,25,25,26,25,4.5,46.5,-9999,14
26,70.72353437,-153.8363215,7846775.363,469186.6848,23,25,22,23,2.5,43.8,-9999,23
27,70.72353563,-153.8360501,7846775.366,469196.6848,27,27,28,27,4.7,44.8,-9999,8
28,70.72353689,-153.8357787,7846775.368,469206.6848,22,21,20,21,1.9,53.7,-9999,19
29,70.72353814,-153.8355074,7846775.371,469216.6848,26,27,30,28,5.8,46.8,-9999,10
30,70.7235394,-153.835236,7846775.374,469226.6848,19,20,22,20,1.8,56.9,-9999,30
31,70.72354066,-153.8349646,7846775.377,469236.6848,25,25,26,25,2.9,53.1,-9999,35
32,70.72354192,-153.8346932,7846775.379,469246.6848,25,25,26,25,4.5,56.5,-9999,20
33,70.72345226,-153.8346895,7846765.379,469246.6848,27,30,30,29,7.5,48.8,-9999,10
34,70.72345101,-153.8349609,7846765.377,469236.6848,20,22,24,22,2.2,60.3,-9999,31
35,70.72344975,-153.8352323,7846765.374,469226.6848,28,29,26,28,5.6,55.2,-9999,17
36,70.72344849,-153.8355036,7846765.371,469216.6848,23,23,24,23,3.2,54.2,-9999,14
37,70.72344723,-153.835775,7846765.368,469206.6848,28,28,29,28,4.8,47.9,-9999,27
38,70.72344597,-153.8360464,7846765.366,469196.6848,26,27,26,26,2.8,58.4,-9999,28
39,70.72344471,-153.8363178,7846765.363,469186.6848,24,24,22,23,5.4,44.4,-9999,16
40,70.72344345,-153.8365891,7846765.36,469176.6848,22,20,23,22,3.1,49.5,-9999,20
41,70.72344219,-153.8368605,7846765.357,469166.6848,22,22,21,22,3.2,56.4,-9999,12
42,70.72344093,-153.8371319,7846765.354,469156.6848,37,37,36,37,6.8,65.4,-9999,18
43,70.72343967,-153.8374033,7846765.352,469146.6848,38,38,39,38,6.2,100,7,23
44,70.72335001,-153.8373995,7846755.352,469146.6848,34,35,35,35,6.2,100,6,27
45,70.72335127,-153.8371281,7846755.354,469156.6848,16,17,16,16,2.3,52.9,-9999,15
46,70.72335253,-153.8368568,7846755.357,469166.6848,20,21,22,21,3.3,55,-9999,13
47,70.72335379,-153.8365854,7846755.36,469176.6848,25,26,28,26,4.4,56.4,-9999,5
48,70.72335506,-153.836314,7846755.363,469186.6848,27,27,29,28,4.8,79.2,-9999,33
49,70.72335632,-153.8360426,7846755.366,469196.6848,24,24,23,24,3.3,54.5,-9999,20
50,70.72335757,-153.8357713,7846755.368,469206.6848,26,26,26,26,4,46.9,-9999,14
51,70.72335883,-153.8354999,7846755.371,469216.6848,25,25,23,24,2.6,51.8,-9999,25
52,70.72336009,-153.8352285,7846755.374,469226.6848,26,27,24,26,2.7,45,-9999,35
53,70.72336135,-153.8349571,7846755.377,469236.6848,35,35,36,35,5.6,100,9,32
54,70.72336261,-153.8346858,7846755.379,469246.6848,16,16,17,16,1.3,49.4,-9999,23
55,70.72327295,-153.834682,7846745.379,469246.6848,31,32,31,31,5.4,57.8,-9999,36
56,70.7232717,-153.8349534,7846745.377,469236.6848,16,16,20,17,1.4,50.7,-9999,20
57,70.72327044,-153.8352248,7846745.374,469226.6848,36,36,38,37,8.3,100,11,49
58,70.72326918,-153.8354962,7846745.371,469216.6848,37,38,39,38,7.7,79.1,-9999,28
59,70.72326792,-153.8357675,7846745.368,469206.6848,31,35,33,33,5,51.6,-9999,29
60,70.72326666,-153.8360389,7846745.366,469196.6848,22,20,22,21,2.2,72.4,-9999,23
61,70.7232654,-153.8363103,7846745.363,469186.6848,23,21,23,22,3.1,54.6,-9999,25
62,70.72326414,-153.8365817,7846745.36,469176.6848,16,17,16,16,1.1,53.1,-9999,21
63,70.72326288,-153.836853,7846745.357,469166.6848,26,27,29,27,4,74.2,-9999,26
64,70.72326162,-153.8371244,7846745.354,469156.6848,19,19,21,20,3.5,59.7,-9999,21
65,70.72326036,-153.8373958,7846745.352,469146.6848,40,40,39,40,7.1,67.2,-9999,21
66,70.7231707,-153.837392,7846735.352,469146.6848,28,28,29,28,5.9,74.6,-9999,24
67,70.72317196,-153.8371207,7846735.354,469156.6848,19,20,19,19,2.6,56.4,-9999,23
68,70.72317322,-153.8368493,7846735.357,469166.6848,27,26,26,26,3.6,50.3,-9999,13
69,70.72317448,-153.8365779,7846735.36,469176.6848,23,22,21,22,3.5,47.2,-9999,32
70,70.72317574,-153.8363065,7846735.363,469186.6848,25,25,26,25,2.4,63.9,-9999,26
71,70.723177,-153.8360352,7846735.366,469196.6848,37,36,37,37,6.1,100,8,35
72,70.72317826,-153.8357638,7846735.368,469206.6848,15,16,15,15,1.2,54.4,-9999,23
73,70.72317952,-153.8354924,7846735.371,469216.6848,31,32,34,32,6.7,48.3,-9999,26
74,70.72318078,-153.8352211,7846735.374,469226.6848,29,29,29,29,4.6,51.3,-9999,24
75,70.72318204,-153.8349497,7846735.377,469236.6848,17,16,20,18,1.6,55.6,-9999,26
76,70.7231833,-153.8346783,7846735.379,469246.6848,19,19,23,20,1.9,59.5,-9999,19
77,70.72309364,-153.8346746,7846725.379,469246.6848,22,22,22,22,2.5,54.8,-9999,30
78,70.72309239,-153.8349459,7846725.377,469236.6848,16,16,15,16,1.2,59.4,-9999,35
79,70.72309113,-153.8352173,7846725.374,469226.6848,30,31,29,30,6.1,48.6,-9999,19
80,70.72308987,-153.8354887,7846725.371,469216.6848,16,17,19,17,0.9,49.6,-9999,18
81,70.72308861,-153.8357601,7846725.368,469206.6848,26,28,30,28,3.4,65.3,-9999,35
82,70.72308735,-153.8360314,7846725.366,469196.6848,17,18,21,19,0.9,56.5,-9999,41
83,70.72308609,-153.8363028,7846725.363,469186.6848,24,24,25,24,2.1,49.9,-9999,32
84,70.72308483,-153.8365742,7846725.36,469176.6848,37,38,38,38,7.8,43.5,-9999,36
85,70.72308357,-153.8368455,7846725.357,469166.6848,24,24,27,25,2,54,-9999,24
86,70.72308231,-153.8371169,7846725.354,469156.6848,22,23,24,23,3.6,60.8,-9999,31
87,70.72308105,-153.8373883,7846725.352,469146.6848,30,30,31,30,5.1,100,7,30
88,70.72299139,-153.8373845,7846715.352,469146.6848,31,32,33,32,6.1,100,7,23
89,70.72299265,-153.8371132,7846715.354,469156.6848,16,17,18,17,1.1,55.7,-9999,21
90,70.72299391,-153.8368418,7846715.357,469166.6848,21,22,24,22,3.4,52.1,-9999,24
91,70.72299517,-153.8365704,7846715.36,469176.6848,33,30,33,32,6,100,8,28
92,70.72299643,-153.8362991,7846715.363,469186.6848,18,18,18,18,2.7,51.6,-9999,29
93,70.72299769,-153.8360277,7846715.366,469196.6848,23,24,25,24,3.3,48.2,-9999,24
94,70.72299895,-153.8357563,7846715.368,469206.6848,28,30,33,30,5.1,71.6,-9999,25
95,70.72300021,-153.835485,7846715.371,469216.6848,31,31,32,31,7.4,41.5,-9999,24
96,70.72300147,-153.8352136,7846715.374,469226.6848,35,35,36,35,6.8,100,9,24
97,70.72300273,-153.8349422,7846715.377,469236.6848,29,29,32,30,4.2,51.9,-9999,25
98,70.72300399,-153.8346708,7846715.379,469246.6848,36,36,36,36,8.5,27.9,-9999,19
99,70.72291433,-153.8346671,7846705.379,469246.6848,30,28,30,29,4.9,55.5,-9999,33
100,70.72291307,-153.8349385,7846705.377,469236.6848,40,40,39,40,7.1,100,6,33
101,70.72291182,-153.8352098,7846705.374,469226.6848,32,32,33,32,5.4,100,16,29
102,70.72291056,-153.8354812,7846705.371,469216.6848,17,17,17,17,1.9,47.9,-9999,31
103,70.7229093,-153.8357526,7846705.368,469206.6848,25,26,23,25,3.2,47.2,-9999,16
104,70.72290804,-153.836024,7846705.366,469196.6848,27,28,30,28,4.4,44.3,-9999,13
105,70.72290678,-153.8362953,7846705.363,469186.6848,21,22,19,21,3.2,43.8,-9999,17
106,70.72290552,-153.8365667,7846705.36,469176.6848,20,19,21,20,2,50.4,-9999,24
107,70.72290426,-153.8368381,7846705.357,469166.6848,21,21,21,21,2.3,53.8,-9999,24
108,70.722903,-153.8371094,7846705.354,469156.6848,22,22,21,22,2.1,55.6,-9999,23
109,70.72290173,-153.8373808,7846705.352,469146.6848,28,28,28,28,5,100,5,25
110,70.72281208,-153.8373761,7846695.352,469146.7218,30,32,35,32,6.1,100,10,32
111,70.72281335,-153.8371047,7846695.354,469156.7218,28,27,28,28,4.3,69.6,-9999,26
112,70.72281461,-153.8368333,7846695.357,469166.7218,22,21,23,22,3,57.5,-9999,29
113,70.72281587,-153.836562,7846695.36,469176.7218,33,37,38,36,7.7,65,-9999,41
114,70.72281713,-153.8362906,7846695.363,469186.7218,16,17,16,16,1.6,50.4,-9999,26
115,70.72281839,-153.8360192,7846695.366,469196.7218,30,29,30,30,5.5,71.4,-9999,37
116,70.72281965,-153.8357478,7846695.368,469206.7218,36,37,38,37,5.7,87.9,-9999,2
117,70.72282091,-153.8354765,7846695.371,469216.7218,26,27,25,26,3.9,51.1,-9999,17
118,70.72282217,-153.8352051,7846695.374,469226.7218,26,24,22,24,2.4,51.3,-9999,25
119,70.72282342,-153.8349337,7846695.377,469236.7218,31,32,27,30,3.2,59.2,-9999,28
120,70.72282468,-153.8346631,7846695.379,469246.6941,33,33,31,32,5.5,100,14,8
